#  E (eV)   dos(E)     Int dos(E)
   21.899426602  0.18077193E+01  0.74968774E+02
   22.035483534  0.18526991E+01  0.75220846E+02
   22.171540465  0.16227668E+01  0.75441635E+02
   22.307597396  0.13200658E+01  0.75621239E+02
   22.443654327  0.12388172E+01  0.75789789E+02
   22.579711258  0.86778550E+00  0.75907857E+02
   22.715768190  0.43497801E+00  0.75967039E+02
   22.851825121  0.18538360E+00  0.75992261E+02
   22.987882052  0.54323541E-01  0.75999653E+02
   23.123938983  0.56054291E-02  0.76000415E+02
   23.259995915  0.12356471E-03  0.76000432E+02
   23.396052846  0.46027044E-06  0.76000432E+02
   23.532109777  0.26146215E-09  0.76000432E+02
   23.668166708  0.21652274E-13  0.76000432E+02
   23.804223640  0.25560897E-18  0.76000432E+02
   23.940280571  0.42430791E-24  0.76000432E+02
   24.076337502  0.98078659E-31  0.76000432E+02
   24.212394433  0.31336966E-38  0.76000432E+02
   24.348451364  0.13763269E-46  0.76000432E+02
   24.484508296  0.82754484E-56  0.76000432E+02
   24.620565227  0.67916981E-66  0.76000432E+02
   24.756622158  0.75920465E-77  0.76000432E+02
   24.892679089  0.43614295E-84  0.76000432E+02
